,INSTNM,OPEID,REGION,SAT_AVG_ALL,PCTPELL,PCTFLOAN,ADM_RATE_ALL,UG,AVGFACSAL,COMPL_RPY_5YR_RT,DEBT_MDN,MEDIAN_HH_INC,Tuition
372,Centenary College of Louisiana,200300,5,1114,0.3454,0.604,0.670683,858,6228,0.713114754,19500,58549.24,25112
373,Dillard University,200400,5,888,0.7725,0.9,0.476056,1953,6262,0.538011696,26000,51069.58,17715
374,Grambling State University,200600,5,871,0.8128,0.8906,0.382254,4289,6109,0.468831169,23385,44602.47,16527
375,Louisiana State University-Alexandria,201100,5,950,0.4197,0.4252,0.677929,2386,5455,0.588607595,7750,39416.07,7370
376,Louisiana State University and Agricultural & ...,201000,5,1163,0.2028,0.2969,0.773424,26121,9447,0.802155992,14000,57504.74,11355
377,Louisiana State University-Shreveport,201300,5,1029,0.357,0.356,0.755452,3422,6237,0.639112903,11500,47946.96,6932
378,Louisiana College,200700,5,969,0.4213,0.5919,0.694444,1125,5696,0.767441861,11500,46322.14,14202
379,Louisiana Tech University,200800,5,1105,0.2147,0.2976,0.638445,8921,7420,0.779436153,12500,46738.12,9233
380,Loyola University New Orleans,201600,5,1134,0.3101,0.7235,0.903091,3688,8342,0.834661355,20500,67759.61,24610
381,McNeese State University,201700,5,1029,0.3489,0.3902,0.820453,6703,6608,0.758576874,10500,47295.56,9485
382,University of New Orleans,201500,5,1034,0.3251,0.3294,0.576551,12260,7591,0.719183674,10500,51940.24,8891
383,Nicholls State University,200500,5,1030,0.3793,0.4933,0.902043,6556,5798,0.748344371,11000,49304.74,10625
384,University of Louisiana at Monroe,202000,5,1054,0.3448,0.3893,0.8765,8033,7120,0.769425676,11250,43063.22,7859
385,Northwestern State University of Louisiana,202100,5,1008,0.3995,0.4858,0.839678,8270,6197,0.684632192,12946.5,43125.41,9966
386,Our Lady of the Lake College,3106200,5,1010,0.3335,0.6135,0.527157,1053,6628,0.731012658,15796,54007.12,15881
387,Southeastern Louisiana University,202400,5,1030,0.3355,0.3891,0.879505,12916,6267,0.714213963,10000,53084.32,10254
388,Southern University and A & M College,202500,5,911,0.6776,0.8009,0.785629,7769,6355,0.463732681,16185,45854.37,12666
389,Southern University at New Orleans,202600,5,803,0.7451,0.9446,0.214485,3573,3952,0.323076923,12500,43920.92,8224
390,University of Louisiana at Lafayette,203100,5,1069,0.3203,0.3545,0.552721,14091,8105,0.764080765,12000,47090.8,9459
391,Tulane University of Louisiana,202900,5,1346,0.1518,0.3605,0.304985,7353,10993,0.834070797,21954,69803.28,32475
392,Xavier University of Louisiana,203200,5,1050,0.5329,0.6723,0.65752,3284,8372,0.679558011,16250,55657.89,17222
393,Colby College,203900,1,1363,0.1132,0.2371,0.225207,1814,11758,0.940520446,18939,80130.48,25530
394,University of Maine at Fort Kent,204100,1,885,0.324,0.4032,0.893023,886,6729,0.829787234,12500,44056.6,13012
395,University of Maine,205300,1,1090,0.3297,0.6323,0.912079,8220,9128,0.883272538,17500,54908.38,15955
396,Maine Maritime Academy,204400,1,1050,0.2937,0.8006,0.651495,710,7288,PrivacySuppressed,27000,56725.03,23175
397,University of New England,205000,1,1070,0.195,0.6544,0.851449,1222,8077,0.877876106,21500,64934.4,31266
398,Saint Joseph's College of Maine,205100,1,989,0.221,0.5374,0.776259,3322,6024,0.871165644,12018.5,63952.22,26358
399,University of Southern Maine,205400,1,984,0.3672,0.5435,0.877719,8726,8703,0.856007067,15042,58065.5,16528
400,University of Baltimore,210200,2,972,0.4428,0.5575,0.526706,2016,10575,0.707129094,15000,65721.01,14473
401,Bowie State University,206200,2,883,0.5222,0.6766,0.574691,3109,8339,0.460829493,16000,77046.6,13737
402,Capitol Technology University,143600,2,1023,0.3429,0.554,0.97486,684,7177,PrivacySuppressed,19546,73053.75,15471
403,Washington Adventist University,206700,2,821,0.5183,0.7043,0.330909,1030,5462,PrivacySuppressed,25000,69837.96,16307
404,Coppin State University,206800,2,888,0.6215,0.6893,0.371884,3092,7395,0.486111111,14000,54222.17,9055
405,Frostburg State University,207200,2,955,0.3628,0.5878,0.634551,4430,7099,0.785632839,14317.5,70221.41,17186
406,Johns Hopkins University,207700,2,1453,0.1229,0.3745,0.141203,5278,10951,0.857278782,14500,81539.46,34455
407,University of Maryland-Baltimore County,210500,2,1209,0.2766,0.4174,0.594223,9101,9816,0.852968037,16250,83010.29,18827
408,University of Maryland-College Park,210300,2,1315,0.1941,0.344,0.448759,24638,12375,0.884943182,16507.5,90010.73,15634
409,Maryland Institute College of Art,208000,2,1140,0.2322,0.5621,0.473546,1588,8068,0.844978166,23250,80395.11,36948
410,University of Maryland Eastern Shore,210600,2,834,0.5431,0.5389,0.49055,2969,7856,0.462566845,15000,66039.83,15453
411,Morgan State University,208300,2,878,0.62,0.8024,0.667191,5685,8826,0.41397154,21672,63566.62,16225
412,Mount St Mary's University,208600,2,1013,0.2033,0.6066,0.67152,1500,7334,0.907035176,18710.5,81781.05,29049
413,Notre Dame of Maryland University,206500,2,1087,0.3011,0.4713,0.519185,1930,7387,0.710601719,20000,70799.46,19354
414,St Mary's College of Maryland,209500,2,1145,0.1756,0.6386,0.78806,1547,7147,0.903896104,17500,85886.58,21049
415,Towson University,209900,2,1081,0.2652,0.4741,0.733808,13905,7232,0.809727243,14750,80470.71,17516
416,Stevenson University,210700,2,1006,0.317,0.6258,0.597355,2185,8356,0.859050445,20609,74334.54,26475
417,McDaniel College,210900,2,1074,0.3107,0.6713,0.798184,1610,7185,0.82278481,21250,83552.93,20096
418,American International College,211400,1,887,0.5187,0.8473,0.631553,1102,6409,0.681093394,19275,62232.99,20943
419,Amherst College,211500,1,1451,0.2254,0.1568,0.141223,1695,12444,0.897727273,10500,82187.65,18848
420,Babson College,212100,1,1317,0.1628,0.3626,0.263039,1751,15310,0.963963964,25000,82978.89,31884
421,Boston Baptist College,3248300,1,943,0.4419,0.5698,0.923077,108,4286,PrivacySuppressed,14999,68167.52,23874
422,Becker College,212300,1,1009,0.3919,0.8273,0.668911,1166,7731,0.825242718,17753,68777.13,27752
423,Bentley University,212400,1,1244,0.1562,0.4864,0.423197,4316,12843,0.970588235,25500,82419.5,32713
424,Boston College,212800,1,1380,0.125,0.3763,0.285051,9764,14211,0.954545455,19000,83893.95,33661
425,Boston University,213000,1,1303,0.1317,0.3784,0.326226,17819,12920,0.849162011,24500,83140.68,34910
426,Brandeis University,213300,1,1360,0.196,0.4759,0.340236,3282,12654,0.883050848,26207,85221.28,28370
427,Bridgewater State University,218300,1,996,0.3691,0.6936,0.807089,7080,8859,0.770719903,18500,75059.92,18745
428,Curry College,214300,1,941,0.2552,0.6359,0.877026,2218,9564,0.833587786,19000,77762.42,29464
429,Eastern Nazarene College,214500,1,978,0.4981,0.6024,0.612932,1203,5700,0.83125,16000,69305.79,18677
430,Emerson College,214600,1,1211,0.1642,0.5738,0.490253,3168,9694,0.870221328,22313,80699.66,39148
431,Fitchburg State University,218400,1,993,0.3846,0.7127,0.747624,3238,8777,0.792682927,15000,71253.32,13923
432,Framingham State University,218500,1,975,0.3183,0.6512,0.708099,4042,8464,0.909233177,16947.5,80769.61,17967
433,Gordon College,215300,1,1112,0.22,0.6939,0.932314,1528,6869,0.927648579,23250,80002.32,27418
434,Harvard University,215500,1,1497,0.1165,0.0505,0.055754,9884,20072,0.768060837,7000,76879.55,17882
435,Lasell College,215800,1,966,0.3276,0.7979,0.781457,841,7786,0.856287425,23250,77012.29,24150
436,Lesley University,216000,1,1066,0.2639,0.6485,0.670962,1763,7844,0.816608997,18500,73324.38,30616
437,University of Massachusetts-Lowell,216100,1,1197,0.281,0.5693,0.567874,9543,11486,0.821626617,17699.5,76546.63,18005
438,University of Massachusetts-Amherst,222100,1,1226,0.2368,0.5933,0.58318,19061,11921,0.863936291,21500,78424.73,18869
439,University of Massachusetts-Boston,222200,1,1055,0.4185,0.5475,0.69055,10442,10470,0.761220826,16331.5,68463.25,11789
440,MCPHS University,216500,1,1070,0.2965,0.7442,0.865626,1427,8909,0.936868687,25000,72630.13,35360
441,Massachusetts College of Art and Design,218000,1,1086,0.2705,0.5496,0.713276,2221,9882,0.736842105,21989,75629.56,22323
442,Massachusetts Institute of Technology,217800,1,1507,0.1786,0.1833,0.082978,4258,16830,0.949640288,15250,77426.3,22968
443,Massachusetts Maritime Academy,218100,1,1065,0.187,0.7695,0.739394,830,8579,PrivacySuppressed,23250,77684.66,17224
444,Mount Ida College,219300,1,906,0.3729,0.7636,0.6326,1196,5355,0.815789474,15219.5,73378.33,26850
445,Massachusetts College of Liberal Arts,218700,1,1016,0.4654,0.8681,0.734099,1387,8632,0.785074627,18000,64342.86,16069
446,Northeastern University,219900,1,1435,0.124,0.409,0.284781,19588,12159,0.906182796,25000,80190.89,28869
447,College of Our Lady of the Elms,214000,1,976,0.434,0.7702,0.748798,641,6966,0.770700637,23000,59687.78,21102
448,Pine Manor College,220100,1,775,0.5236,0.6005,0.709424,370,6174,0.625,9500,58088.78,22810
449,Simmons College,220800,1,1163,0.2509,0.7158,0.575738,1186,7921,0.894890511,25000,77652.59,29461
450,Springfield College,221100,1,1042,0.2315,0.8031,0.641537,3371,8157,0.69661017,20467.5,64281.13,27047
451,University of Massachusetts-Dartmouth,221000,1,1025,0.3967,0.7311,0.762614,6423,9481,0.840342679,18361,72067.31,16517
452,Suffolk University,221800,1,1024,0.2939,0.557,0.823716,3438,8753,0.796839729,21500,76214.79,29563
453,Tufts University,221900,1,1424,0.1198,0.2782,0.160992,4886,11533,0.962043796,16500,82793.69,29565
454,Wellesley College,222400,1,1369,0.1937,0.331,0.298507,2287,11712,0.944827586,8600,81018.79,25429
455,Wentworth Institute of Technology,222500,1,1104,0.2643,0.6697,0.666667,3187,8207,0.925357873,23481,76699.8,35232
456,Western New England University,222600,1,1080,0.295,0.7443,0.809409,3136,9221,0.882275132,21500,76363.81,28053
457,Westfield State University,218900,1,1001,0.2751,0.6444,0.796109,4276,8910,0.865123703,15000,72419.11,16808
458,Wheelock College,222800,1,944,0.3786,0.8032,0.95417,636,7125,0.797235023,21500,76696.63,27466
459,Williams College,222900,1,1442,0.1805,0.2698,0.176086,2020,8923,0.915254237,14000,77966.2,23924
460,Worcester State University,219000,1,1020,0.3006,0.5468,0.68566,4569,8783,0.843037975,13845,68531.82,17495
461,Adrian College,223400,3,1008,0.4145,0.8783,0.610314,1081,7789,0.795275591,19500,66915.1,23128
462,Albion College,223500,3,1104,0.2737,0.6349,0.798002,1525,7346,0.867647059,24000,71425.7,22232
463,Alma College,223600,3,1110,0.3037,0.9011,0.675676,1409,7319,0.869731801,23875,61676.21,22080
464,Andrews University,223800,3,1091,0.2726,0.4528,0.392095,1736,4904,0.640410959,23000,63096.48,21177
465,Aquinas College,223900,3,1090,0.3253,0.6428,0.724099,2021,6047,PrivacySuppressed,19500,64829.33,16624
466,Calvin College,224100,3,1202,0.226,0.5303,0.742678,4263,8258,0.898876405,21948.5,70660.49,24177
467,Central Michigan University,224300,3,1049,0.3543,0.7248,0.687483,18620,8462,0.724523507,21500,66048.2,14509
468,Cleary University,224600,3,950,0.4671,0.8934,0.723077,337,5988,0.69,14375,81153.11,10182
469,Concordia University-Ann Arbor,384256,3,1052,0.3577,0.7198,0.675359,590,4449,0.759322034,15015,70459.21,20434
470,College for Creative Studies,677100,3,1070,0.3405,0.6338,0.496133,1086,7165,0.751445087,21500,74293.04,33309
471,University of Detroit Mercy,232300,3,1122,0.2922,0.6217,0.729171,3830,8681,0.780838323,20500,64142.33,22524
472,Eastern Michigan University,225900,3,1029,0.4388,0.7191,0.747752,18189,9227,0.7138863,18250,69989,12675
473,Ferris State University,226000,3,1009,0.4009,0.6285,0.781781,9235,8434,0.773632742,17250,61040.62,13306
474,Kettering University,226200,3,1204,0.2465,0.7587,0.700969,2632,7966,PrivacySuppressed,23000,70813.57,34029
475,Cornerstone University,226600,3,1033,0.4043,0.7031,0.729771,1592,5861,0.773722628,18467.5,63718.46,18505
476,Grand Valley State University,226800,3,1090,0.3468,0.631,0.811407,15211,8254,0.771276596,19220.5,67198.25,16491
477,Hope College,227300,3,1205,0.2055,0.5534,0.720362,3015,8053,0.871575343,24841,72371.25,23994
478,Lake Superior State University,229300,3,1027,0.3913,0.568,0.918885,3068,6460,0.752783964,13750,53637.55,10381
479,Lawrence Technological University,227900,3,1156,0.1726,0.3034,0.552864,2975,7631,0.856777494,19500,73119.88,26876
480,Madonna University,228200,3,1030,0.3288,0.5027,0.598765,3130,7532,0.672131148,21000,72787.1,14104
481,Marygrove College,228400,3,780,0.6942,0.8313,0.574913,914,6730,0.5234375,18237.5,51580.09,14455
482,Rochester College,228800,3,949,0.4686,0.7318,0.578885,794,5647,0.66873065,15000,72043.03,16211
483,University of Michigan-Ann Arbor,232500,3,1384,0.1538,0.3202,0.262776,24412,10886,0.836720227,19250,77145.9,14521
484,Michigan State University,229000,3,1159,0.2211,0.4504,0.662805,34342,11164,0.844480476,22150,72140.18,16788
485,Michigan Technological University,229200,3,1207,0.252,0.5758,0.754363,5666,9815,0.932220039,19986.5,61737.2,15237
486,University of Michigan-Dearborn,232600,3,1105,0.44,0.6574,0.622709,6615,9040,0.651643193,18750,67620.59,12220
487,University of Michigan-Flint,232700,3,992,0.4199,0.7034,0.735835,5786,8143,0.571559633,18750,64807.7,14223
488,Northern Michigan University,230100,3,1011,0.3738,0.6187,0.698797,7575,7748,0.738230729,14864,57050.02,12468
489,Northwood University,407200,3,1026,0.4131,0.8263,0.694407,3657,7299,0.698630137,18494.5,64809.96,22526
490,Oakland University,230700,3,1070,0.3165,0.5307,0.803877,12002,8963,0.708209693,18271,78696.54,11929
491,Olivet College,230800,3,931,0.491,0.8567,0.56868,977,5819,0.738197425,19856.5,62696.44,20320
492,Kuyper College,231100,3,1010,0.4142,0.6903,0.711628,51,5239,0.841269841,16855,68721.86,17932
493,Saginaw Valley State University,231400,3,1030,0.4095,0.7373,0.761423,7059,7691,0.704560926,17452.5,57827.75,14579
494,Siena Heights University,231600,3,1027,0.3963,0.649,0.774902,1713,5851,0.674193548,15000,63208.96,16683
495,Spring Arbor University,231800,3,1073,0.4478,0.7472,0.688875,2125,5191,0.76344086,20150,61521.97,18156
496,Finlandia University,232200,3,886,0.5274,0.7465,0.459478,383,5093,0.782894737,11335,47498.69,23275
497,Wayne State University,232900,3,1070,0.4649,0.5677,0.798681,18093,9961,0.69525066,15750,61912.62,13258
498,Western Michigan University,233000,3,1030,0.3829,0.6649,0.823789,22756,9317,0.743705463,20000,69141.32,16870
499,Augsburg College,233400,4,1032,0.4002,0.6774,0.591795,2913,7424,0.881773399,21500,72224.74,23536
500,Bemidji State University,233600,4,1010,0.3378,0.598,0.938036,3889,8273,0.801265823,13000,55158.96,14720
501,Bethany Lutheran College,233700,4,1074,0.3936,0.7175,0.853026,440,6495,0.908333333,16372,62776.68,16294
502,Bethel University,905800,4,1127,0.2571,0.6639,0.949053,2652,7495,0.941414141,19500,77038.37,26602
503,Carleton College,234000,4,1400,0.1313,0.4711,0.206486,1936,11575,0.943573668,18730,71070.84,28892
504,Martin Luther College,236100,4,1145,0.3523,0.595,0.778626,1026,4468,PrivacySuppressed,16500,64939.16,17612
505,Hamline University,235400,4,1127,0.3622,0.6971,0.723905,1851,6210,0.854809437,18270.5,70958.04,21150
506,Macalester College,235800,4,1358,0.1655,0.4433,0.390216,1794,9658,0.929648241,21000,71692.75,24934
507,Minnesota State University-Mankato,236000,4,1030,0.2816,0.5819,0.666272,11165,8892,0.917948718,15000,66314.89,15178
508,University of Minnesota-Twin Cities,396900,4,1285,0.2026,0.4229,0.442855,31824,11258,0.85026738,17390,70741.62,17015
509,University of Minnesota-Crookston,406900,4,1026,0.2204,0.4018,0.767612,2775,7009,0.858299595,13000,55080.02,13075
510,Minneapolis College of Art and Design,236500,4,1096,0.369,0.8408,0.660072,580,6759,0.831858407,20500,70094.27,25795
511,University of Minnesota-Duluth,238800,4,1109,0.2343,0.5713,0.759568,8400,7969,0.88128106,17325,68076.22,16551
512,University of Minnesota-Morris,238900,4,1146,0.2807,0.495,0.597955,1842,7003,0.870748299,12750,63548.87,13418
513,Minnesota State University Moorhead,236700,4,1049,0.3033,0.6158,0.772958,7044,8412,0.827852998,16671.5,54641.42,15240
514,North Central University,236900,4,1024,0.4052,0.6834,0.535011,1168,6670,0.865979381,19422,65000.36,19196
515,University of Northwestern-St Paul,237100,4,1102,0.2216,0.4336,0.867713,2081,6128,0.931484502,18500,70065.41,23664
516,Oak Hills Christian College,999200,4,930,0.5887,0.6738,0.291045,150,4142,0.732142857,11000,53222.25,17400
517,College of Saint Benedict,234100,4,1118,0.2401,0.6485,0.741398,2024,8226,0.974048443,23250,70918.96,23305
518,Saint Cloud State University,237700,4,1030,0.295,0.4656,0.862029,13949,8912,0.894056848,14000,66422.48,13786
519,Saint Johns University,237900,4,1148,0.1923,0.6372,0.740833,1880,8130,0.962765957,24159,71469.52,22530
520,Saint Mary's University of Minnesota,238000,4,1046,0.2516,0.5798,0.776088,1693,6649,0.875,16570,70833.22,20200
521,St Olaf College,238200,4,1282,0.1496,0.4911,0.359662,3014,8685,0.923809524,26000,75732.77,23452
522,Crown College,238300,4,1019,0.4942,0.7332,0.529468,882,5084,0.876404494,14250,68899.21,21577
523,The College of Saint Scholastica,234300,4,1067,0.3161,0.6736,0.614656,1499,6866,0.900641026,18196,60287.14,21914
524,University of St Thomas,234500,4,1202,0.1809,0.546,0.839588,5469,9985,0.938461539,21500,76939.14,28374
525,St Catherine University,234200,4,1032,0.3861,0.7359,0.673891,3555,7006,0.82924614,22554.5,71786.79,23046
526,Southwest Minnesota State University,237500,4,1008,0.1308,0.2347,0.640338,4148,8766,0.898876405,13500,56697.45,14909
527,Winona State University,239400,4,1050,0.2631,0.6321,0.624631,6772,8270,0.916380298,17500,68678.3,17393
528,Alcorn State University,239600,5,871,0.7661,0.818,0.805648,2398,6639,0.473484849,19000,38329.94,14838
529,Blue Mountain College,239800,5,990,0.4981,0.5904,0.992063,371,4900,0.727272727,12000,44968.64,10978
530,Delta State University,240300,5,970,0.4262,0.5601,0.869822,3356,6312,0.70625,11250,39124.62,12840
531,Jackson State University,241000,5,910,0.6629,0.7468,0.675171,5471,6940,0.5,19000,43401.54,13142
532,Millsaps College,241400,5,1163,0.2135,0.5508,0.526388,1193,7563,0.790697674,19500,56763.17,21209
533,University of Mississippi,244000,5,1118,0.2661,0.4424,0.787253,9608,8996,0.781808891,15000,53374.26,14284
534,Mississippi University for Women,242200,5,1012,0.4832,0.5916,0.961252,2660,6209,0.658256881,12500,43147.25,10874
535,Mississippi Valley State University,242400,5,850,0.7183,0.8164,0.75671,2358,5824,0.493506494,17000,34674.56,10880
536,Mississippi College,241500,5,1106,0.3345,0.5409,0.824821,2440,7343,0.737012987,16750,52824.92,15375
537,Mississippi State University,242300,5,1140,0.3261,0.4915,0.652418,13307,8371,0.814939759,15000,46465.5,16035
538,Rust College,243300,5,780,0.8941,0.9003,0.414924,853,4757,0.491525424,11089,41256.82,9777
539,University of Southern Mississippi,244100,5,1049,0.4855,0.6269,0.580384,12143,7573,0.742366412,15586.5,46990.98,12175
540,Tougaloo College,243900,5,844,0.9333,0.8611,0.391211,1000,4683,0.57037037,21380,44758.77,13117
541,William Carey University,244700,5,1071,0.6454,0.6999,0.568884,1715,5180,0.625242718,15000,45401.66,16557
542,Avila University,244900,4,986,0.3959,0.6972,0.50892,1123,6727,0.770226537,17760,67638.05,19608
543,Calvary University,245000,4,1010,0.5378,0.4756,0.942308,224,3861,PrivacySuppressed,9750,59014.41,12620
544,Central Christian College of the Bible,2266400,4,985,0.5874,0.5734,0.349081,133,4914,0.72,8750,57236.66,10335
545,Central Methodist University-College of Libera...,245300,4,1043,0.4211,0.7764,0.576844,1172,5908,0.765536723,12439,49478.5,19513
546,University of Central Missouri,245400,4,1010,0.3661,0.5877,0.794521,9150,7115,0.754231052,15000,57730.2,14794
547,Cleveland University-Kansas City,2090700,4,910,0.5,0.7708,0.75,76,5304,0.652173913,10500,61070.83,36435
548,Conception Seminary College,246700,4,1145,0.3978,0.3118,1,93,4243,PrivacySuppressed,PrivacySuppressed,56643.16,27422
549,Cottey College,245800,4,1049,0.4684,0.6245,0.735437,311,6310,0.793103448,8250,61289.57,17289
550,Culver-Stockton College,246000,4,968,0.4723,0.7722,0.558874,821,5284,0.790419162,14750,52894.01,19030
551,Drury University,246100,4,1185,0.5296,0.5807,0.842007,4053,6255,0.708041958,14250,45736.92,21466
552,Evangel University,246300,4,1064,0.4805,0.9404,0.614555,1488,6937,0.860849057,17636.5,58696.81,21749
553,Fontbonne University,246400,4,1050,0.3322,0.657,0.967611,1377,6260,0.650273224,22250,60924.15,15615
554,Kansas City Art Institute,247300,4,1073,0.4473,0.684,0.580229,527,6054,0.735294118,25500,67668.37,30384
555,Lindenwood University,248000,4,1043,0.333,0.6079,0.553898,3991,6943,0.771979986,18750,68730.21,22125
556,Maryville University of Saint Louis,248200,4,1145,0.2974,0.6384,0.722718,2573,7555,0.806509946,18750,70678.19,24484
557,Midwestern Baptist Theological Seminary,248500,4,983,0.4074,0.4188,0.965517,110,5254,PrivacySuppressed,7004.5,63229.67,9724
558,Missouri Baptist University,754000,4,961,0.2106,0.3209,0.574444,2574,5696,0.762541806,15000,62761.71,18938
559,Missouri Southern State University,248800,4,1030,0.5641,0.6163,0.941277,5785,6019,0.74801061,10544.5,46217,9011
560,University of Missouri-Columbia,251600,4,1203,0.2083,0.4566,0.781335,18058,9010,0.820652174,17500,66484.66,16902
561,University of Missouri-Kansas City,251800,4,1130,0.304,0.4382,0.627145,8091,8601,0.777083333,15000,63187.36,14418
562,Missouri University of Science and Technology,251700,4,1261,0.2442,0.4966,0.880846,3698,10363,PrivacySuppressed,18762.5,59935.86,14096
563,University of Missouri-St Louis,251900,4,1105,0.2864,0.391,0.758757,12737,8412,0.762381454,16707.5,64068.51,10017
564,Truman State University,249500,4,1246,0.2047,0.4244,0.789744,5812,6974,0.861952862,17593,64318.95,12586
565,Northwest Missouri State University,249600,4,1047,0.3491,0.581,0.749451,5568,6670,0.779128673,14500,55791.06,10154
566,Rockhurst University,249900,4,1162,0.145,0.4416,0.735761,2034,7117,0.851162791,15050,68699.32,22830
567,Saint Louis University,250600,4,1257,0.1287,0.3256,0.633318,9821,9647,0.881002088,22308,72169.74,31005
568,Saint Louis Christian College,1258000,4,990,0.5698,0.8156,0.361111,195,4190,0.732142857,23014,59406.69,14923
569,Southwest Baptist University,250200,4,1058,0.4143,0.544,0.904685,2714,5774,0.801310044,13918,49841.76,14810
570,Stephens College,251200,4,1036,0.4438,0.964,0.677869,722,5781,0.830508475,18993,61398.11,22422
571,Southeast Missouri State University,250100,4,1050,0.3376,0.468,0.842925,7758,7272,0.809262166,13667,51305.92,12294
572,Missouri State University-Springfield,250300,4,1090,0.3273,0.4946,0.85851,14699,7410,0.821792261,14876,56273.4,15314
573,Washington University in St Louis,252000,4,1469,0.074,0.2047,0.167401,6695,14021,0.909799555,18900,79298.58,32873
574,Webster University,252100,4,1109,0.3573,0.6233,0.561184,3639,8515,0.742750234,18990,66464.45,24006
575,Westminster College,252300,4,1084,0.3074,0.7652,0.636669,686,5751,0.862433862,19000,62575.25,20030
576,William Jewell College,252400,4,1160,0.2733,0.6318,0.493819,1442,6486,0.872262774,22718,66156.47,20788
577,William Woods University,252500,4,1035,0.325,0.7217,0.73117,1011,5503,0.754098361,15000,58051.44,23425
578,Carroll College,252600,7,1110,0.2154,0.5629,0.641048,1251,6519,0.932624114,22500,55326.09,23227
579,Montana Tech of the University of Montana,253100,7,1145,0.3141,0.4442,0.887918,1420,7188,0.822580645,12000,44236.75,12626
580,Montana State University,253200,7,1131,0.2719,0.4507,0.828631,10441,8253,0.916532041,13742,53207.14,16809
581,The University of Montana,253600,7,1090,0.3619,0.5136,0.910179,10666,7866,0.835698282,14375,50573.68,12679
582,Montana State University-Northern,253300,7,892,0.4656,0.5542,1,1389,5448,PrivacySuppressed,10135,43741.63,12784
583,Rocky Mountain College,253400,7,1037,0.322,0.7708,0.698524,784,5893,PrivacySuppressed,17500,51454.11,18462
584,Bryan College of Health Sciences,639900,4,1090,0.3436,0.7634,0.855072,137,6576,PrivacySuppressed,20364,58151.07,23212
585,Concordia University-Nebraska,254100,4,1076,0.2197,0.4854,0.776812,1180,5781,0.902621723,16969,60450.28,19322
586,Creighton University,254200,4,1196,0.1633,0.6585,0.704832,3765,9114,0.883575884,23100,68443.5,28565
587,Doane University-Arts & Sciences,254400,4,1064,0.3089,0.8131,0.765856,1517,6522,0.836477987,17754,57123.16,22206
588,Grace University,254700,4,1003,0.383,0.5193,0.586364,510,5008,PrivacySuppressed,10085,60446.7,17087
589,Hastings College,254800,4,1055,0.306,0.6754,0.711493,1090,6196,0.907063197,14000,58174.49,19592
590,University of Nebraska at Kearney,255100,4,1049,0.3472,0.4843,0.853843,5502,7157,0.867069486,12657,51335.53,15488
591,Nebraska Methodist College of Nursing & Allied...,640400,4,1110,0.3467,0.7523,0.342697,370,6056,0.869090909,19245,66507.51,17989
592,Midland University,255300,4,962,0.3916,0.8487,0.606304,1025,5936,0.84375,14800,56723.06,23077
593,University of Nebraska at Omaha,255400,4,1050,0.3269,0.432,0.759362,10694,8003,0.829110512,12174.5,66043.01,12505
594,Nebraska Wesleyan University,255500,4,1121,0.2729,0.6452,0.78804,1675,6458,0.875268817,18250,59199.51,21990
595,University of Nebraska-Lincoln,256500,4,1145,0.2092,0.3988,0.763575,17968,10385,0.865081724,14500,60976.73,16705
596,Union College,256300,4,1050,0.3622,0.7444,0.561352,788,5513,0.84057971,16000,60804.76,20182
597,York College,256700,4,950,0.5274,0.903,0.437398,497,5443,0.805194805,13750,57118.86,16400
598,University of Nevada-Las Vegas,256900,8,1007,0.3614,0.359,0.884125,17327,10192,0.699782845,11250,70070.97,10915
599,University of Nevada-Reno,256800,8,1084,0.2801,0.3784,0.785154,10134,9763,0.845083488,11952.5,68050.29,14568
600,Sierra Nevada College,919200,8,1012,0.4158,0.7384,0.65704,331,5792,PrivacySuppressed,15000,71252.07,27562
601,Dartmouth College,257300,1,1437,0.139,0.2658,0.109719,4057,13483,0.943396226,12000,79834.73,29986
602,Franklin Pierce University,257500,1,943,0.277,0.7653,0.797059,1489,5352,PrivacySuppressed,14462,72941.72,28468
603,University of New Hampshire-Main Campus,258900,1,1107,0.2164,0.6711,0.78556,5954,11083,0.929549902,22596,77484.55,24013
604,Keene State College,259000,1,991,0.2373,0.7042,0.787628,4297,9217,0.889970789,21300,75913.18,20371
605,University of New Hampshire at Manchester,258901,1,1107,0.2671,0.4903,0.78556,5945,9728,0.929549902,22596,77484.55,17102
606,Bloomfield College,259700,2,855,0.6978,0.8288,0.596961,1785,8029,0.595890411,15970,62332.64,18910
607,Caldwell University,259800,2,969,0.3213,0.515,0.635399,1844,8217,0.710638298,19250,80563.66,11434
608,Centenary University,259900,2,929,0.334,0.6406,0.867622,1202,7098,0.823529412,20500,87083.61,19498
609,Fairleigh Dickinson University-Metropolitan Ca...,260700,2,1020,0.2781,0.3874,0.813481,6560,8840,0.796812749,19000,80740.5,16902
610,Felician University,261000,2,878,0.519,0.7026,0.787862,1484,6428,0.754098361,20686,74826.3,15863
611,Georgian Court University,260800,2,945,0.3886,0.6391,0.728442,1618,8165,0.710526316,18250,78770.86,16920
612,Rowan University,260900,2,1065,0.3006,0.5902,0.71088,8051,9286,0.824074074,15750,76692.58,22383
613,New Jersey City University,261300,2,865,0.5706,0.5428,0.867336,6398,10032,0.660220995,13000,58259.31,8887
614,Kean University,262200,2,928,0.4502,0.6312,0.742699,9300,9109,0.68086102,18750,76062.13,18781
